date,equity,cash,position_value_implied,check_sum_eq≈pos+cash
2014-10-23,1000000.00000000,1000000.00000000,0.00000000,0.00000000
2014-10-24,1000000.00000000,1000000.00000000,0.00000000,0.00000000
2014-10-27,1000000.00000000,1000000.00000000,0.00000000,0.00000000
2014-10-28,1000000.00000000,1000000.00000000,0.00000000,0.00000000
2014-10-29,999899.99771118,1000000.00000000,-100.00228882,0.00000000
2014-10-30,999899.99771118,1000000.00000000,-100.00228882,0.00000000
2014-10-31,1001800.76345150,1000000.00000000,1800.76345150,0.00000000
2014-11-03,1004977.92830513,1000000.00000000,4977.92830513,0.00000000
2014-11-04,1005075.97717639,1000000.00000000,5075.97717639,0.00000000
2014-11-05,1003605.85517260,1000000.00000000,3605.85517260,0.00000000
2014-11-06,1000845.43945408,1000000.00000000,845.43945408,0.00000000
2014-11-07,1001742.61318526,1000000.00000000,1742.61318526,0.00000000
2014-11-10,1008000.39209675,1000000.00000000,8000.39209675,0.00000000
2014-11-11,1005092.70594600,1000000.00000000,5092.70594600,0.00000000
2014-11-12,1001954.85853944,1000000.00000000,1954.85853944,0.00000000
2014-11-13,1003245.77319520,1000000.00000000,3245.77319520,0.00000000
2014-11-14,1005221.64641362,1000000.00000000,5221.64641362,0.00000000
2014-11-17,1001398.77148249,1000000.00000000,1398.77148249,0.00000000
2014-11-18,999706.54622949,1000000.00000000,-293.45377051,0.00000000
2014-11-19,1005218.70479273,1000000.00000000,5218.70479273,0.00000000
2014-11-20,995411.69303865,1000000.00000000,-4588.30696135,0.00000000
2014-11-21,995207.50135123,1000000.00000000,-4792.49864877,0.00000000
2014-11-24,995616.22016159,1000000.00000000,-4383.77983841,0.00000000
2014-11-25,995412.19577949,1000000.00000000,-4587.80422051,0.00000000
2014-11-26,994595.44809007,1000000.00000000,-5404.55190993,0.00000000
2014-11-27,993571.14403418,1000000.00000000,-6428.85596582,0.00000000
2014-11-28,996245.35447869,1000000.00000000,-3754.64552131,0.00000000
2014-12-01,995329.49917463,1000000.00000000,-4670.50082537,0.00000000
2014-12-02,996453.01742703,1000000.00000000,-3546.98257297,0.00000000
2014-12-03,992894.25284103,1000000.00000000,-7105.74715897,0.00000000
2014-12-04,992997.41304657,1000000.00000000,-7002.58695343,0.00000000
2014-12-05,992378.72858388,1000000.00000000,-7621.27141612,0.00000000
2014-12-08,994136.06663459,1000000.00000000,-5863.93336541,0.00000000
2014-12-09,995675.76745340,1000000.00000000,-4324.23254660,0.00000000
2014-12-10,998022.12980340,1000000.00000000,-1977.87019660,0.00000000
2014-12-11,997112.53847207,1000000.00000000,-2887.46152793,0.00000000
2014-12-12,998025.46096756,1000000.00000000,-1974.53903244,0.00000000
2014-12-15,997520.13933095,1000000.00000000,-2479.86066905,0.00000000
2014-12-16,997925.21359152,1000000.00000000,-2074.78640848,0.00000000
2014-12-17,998835.17734568,1000000.00000000,-1164.82265432,0.00000000
2014-12-18,997122.59986704,1000000.00000000,-2877.40013296,0.00000000
2014-12-19,996412.54617188,1000000.00000000,-3587.45382812,0.00000000
2014-12-22,994276.27642885,1000000.00000000,-5723.72357115,0.00000000
2014-12-23,994276.27642885,1000000.00000000,-5723.72357115,0.00000000
2014-12-24,992942.37460116,1000000.00000000,-7057.62539884,0.00000000
2014-12-25,993148.70501181,1000000.00000000,-6851.29498819,0.00000000
2014-12-26,991602.55116275,1000000.00000000,-8397.44883725,0.00000000
2014-12-29,989839.24047288,1000000.00000000,-10160.75952712,0.00000000
2014-12-30,991092.85152103,1000000.00000000,-8907.14847897,0.00000000
2014-12-31,991924.39167600,1000000.00000000,-8075.60832400,0.00000000
2015-01-05,993789.10913573,1000000.00000000,-6210.89086427,0.00000000
2015-01-06,995845.58695066,1000000.00000000,-4154.41304934,0.00000000
2015-01-07,992990.10883150,1000000.00000000,-7009.89116850,0.00000000
2015-01-08,990410.91374363,1000000.00000000,-9589.08625637,0.00000000
2015-01-09,993225.77058663,1000000.00000000,-6774.22941337,0.00000000
2015-01-12,993019.59549994,1000000.00000000,-6980.40450006,0.00000000
2015-01-13,992400.57580747,1000000.00000000,-7599.42419253,0.00000000
2015-01-14,992297.14451383,1000000.00000000,-7702.85548617,0.00000000
2015-01-15,991883.24677010,1000000.00000000,-8116.75322990,0.00000000
2015-01-16,992297.83652174,1000000.00000000,-7702.16347826,0.00000000
2015-01-19,992815.18932647,1000000.00000000,-7184.81067353,0.00000000
2015-01-20,991163.08030325,1000000.00000000,-8836.91969675,0.00000000
2015-01-21,990331.48122540,1000000.00000000,-9668.51877460,0.00000000
2015-01-22,987306.78242830,1000000.00000000,-12693.21757170,0.00000000
2015-01-23,988045.93933362,1000000.00000000,-11954.06066638,0.00000000
2015-01-26,986361.47267753,1000000.00000000,-13638.52732247,0.00000000
