date,equity,cash,position_value_implied,check_sum_eq≈pos+cash
2016-04-26,100000.00000000,100000.00000000,0.00000000,0.00000000
2016-04-27,100000.00000000,100000.00000000,0.00000000,0.00000000
2016-04-28,96474.78727150,16.87155914,96457.91571236,0.00000000
2016-04-29,94226.83428764,16.87155914,94209.96272850,0.00000000
2016-05-03,92489.77350807,16.87155914,92472.90194893,0.00000000
2016-05-04,89935.27350807,16.87155914,89918.40194893,0.00000000
2016-05-05,90241.81077957,16.87155914,90224.93922043,0.00000000
2016-05-06,89066.74311829,16.87155914,89049.87155914,0.00000000
2016-05-09,88913.46961021,16.87155914,88896.59805107,0.00000000
2016-05-10,89986.36467743,16.87155914,89969.49311829,0.00000000
2016-05-11,89168.92545700,16.87155914,89152.05389786,0.00000000
2016-05-12,88862.37844086,16.87155914,88845.50688171,0.00000000
2016-05-13,86869.87155914,16.87155914,86853.00000000,0.00000000
2016-05-16,88044.93922043,16.87155914,88028.06766129,0.00000000
2016-05-17,89730.90883064,16.87155914,89714.03727150,0.00000000
2016-05-18,89424.37155914,16.87155914,89407.50000000,0.00000000
2016-05-19,88198.21272850,16.87155914,88181.34116936,0.00000000
2016-05-20,89475.46272850,16.87155914,89458.59116936,0.00000000
2016-05-23,94737.73623657,16.87155914,94720.86467743,0.00000000
2016-05-24,93511.56766129,16.87155914,93494.69610214,0.00000000
2016-05-25,95657.34805107,16.87155914,95640.47649193,0.00000000
2016-05-26,95555.17545700,16.87155914,95538.30389786,0.00000000
2016-05-27,97036.78038979,16.87155914,97019.90883064,0.00000000
2016-05-30,98569.48623657,16.87155914,98552.61467743,0.00000000
2016-05-31,98365.12155914,16.87155914,98348.25000000,0.00000000
2016-06-01,100102.18233871,16.87155914,100085.31077957,0.00000000
2016-06-02,99284.74311829,16.87155914,99267.87155914,0.00000000
2016-06-03,99846.73623657,16.87155914,99829.86467743,0.00000000
2016-06-06,100255.45584679,16.87155914,100238.58428764,0.00000000
2016-06-07,102554.50000000,16.87155914,102537.62844086,0.00000000
2016-06-08,103627.39506721,16.87155914,103610.52350807,0.00000000
2016-06-13,98671.65883064,16.87155914,98654.78727150,0.00000000
2016-06-14,100000.00000000,16.87155914,99983.12844086,0.00000000
2016-06-15,100817.43922043,16.87155914,100800.56766129,0.00000000
2016-06-16,97700.95584679,16.87155914,97684.08428764,0.00000000
2016-06-17,100204.36467743,16.87155914,100187.49311829,0.00000000
2016-06-20,101941.42545700,16.87155914,101924.55389786,0.00000000
2016-06-21,103116.49311829,16.87155914,103099.62155914,0.00000000
2016-06-22,103014.31077957,16.87155914,102997.43922043,0.00000000
2016-06-23,103014.31077957,16.87155914,102997.43922043,0.00000000
2016-06-24,96628.06077957,16.87155914,96611.18922043,0.00000000
2016-06-27,98824.93233871,16.87155914,98808.06077957,0.00000000
2016-06-28,99846.73623657,16.87155914,99829.86467743,0.00000000
2016-06-29,101430.52350807,16.87155914,101413.65194893,0.00000000
2016-06-30,103627.39506721,16.87155914,103610.52350807,0.00000000
2016-07-01,105926.43922043,16.87155914,105909.56766129,0.00000000
2016-07-04,106335.15883064,16.87155914,106318.28727150,0.00000000
2016-07-05,105875.34805107,16.87155914,105858.47649193,0.00000000
2016-07-06,101737.06077957,16.87155914,101720.18922043,0.00000000
2016-07-07,104291.56077957,16.87155914,104274.68922043,0.00000000
2016-07-11,108480.93922043,16.87155914,108464.06766129,0.00000000
2016-07-12,109962.55389786,16.87155914,109945.68233871,0.00000000
2016-07-13,110166.90883064,16.87155914,110150.03727150,0.00000000
2016-07-14,110626.71961021,16.87155914,110609.84805107,0.00000000
2016-07-15,113283.40194893,16.87155914,113266.53038979,0.00000000
2016-07-18,115531.36467743,16.87155914,115514.49311829,0.00000000
2016-07-19,116553.15883064,16.87155914,116536.28727150,0.00000000
2016-07-20,115582.45584679,16.87155914,115565.58428764,0.00000000
2016-07-21,118034.77350807,16.87155914,118017.90194893,0.00000000
2016-07-22,117115.15194893,16.87155914,117098.28038979,0.00000000
2016-07-25,115684.62844086,16.87155914,115667.75688171,0.00000000
2016-07-26,117319.50688171,16.87155914,117302.63532257,0.00000000
2016-07-27,118341.31077957,16.87155914,118324.43922043,0.00000000
2016-07-28,118647.84805107,16.87155914,118630.97649193,0.00000000
2016-07-29,117012.96961021,16.87155914,116996.09805107,0.00000000
2016-08-01,119465.28727150,16.87155914,119448.41571236,0.00000000
2016-08-02,119312.02350807,16.87155914,119295.15194893,0.00000000
2016-08-03,117217.33428764,16.87155914,117200.46272850,0.00000000
2016-08-04,117574.96272850,16.87155914,117558.09116936,0.00000000
2016-08-05,120333.81766129,16.87155914,120316.94610214,0.00000000
2016-08-08,121611.06766129,16.87155914,121594.19610214,0.00000000
2016-08-09,122479.59805107,16.87155914,122462.72649193,0.00000000
2016-08-10,123348.12844086,16.87155914,123331.25688171,0.00000000
2016-08-11,121100.17545700,16.87155914,121083.30389786,0.00000000
2016-08-12,122275.24311829,16.87155914,122258.37155914,0.00000000
2016-08-15,122326.33428764,16.87155914,122309.46272850,0.00000000
2016-08-16,121049.08428764,16.87155914,121032.21272850,0.00000000
2016-08-17,120895.81077957,16.87155914,120878.93922043,0.00000000
2016-08-18,121508.89506721,16.87155914,121492.02350807,0.00000000
2016-08-19,119056.56766129,16.87155914,119039.69610214,0.00000000
2016-08-22,117064.06077957,16.87155914,117047.18922043,0.00000000
2016-08-23,119822.92545700,16.87155914,119806.05389786,0.00000000
2016-08-24,119107.65883064,16.87155914,119090.78727150,0.00000000
2016-08-25,121662.15883064,16.87155914,121645.28727150,0.00000000
2016-08-26,122275.24311829,16.87155914,122258.37155914,0.00000000
2016-08-29,121202.34805107,16.87155914,121185.47649193,0.00000000
2016-08-30,121457.80389786,16.87155914,121440.93233871,0.00000000
2016-08-31,119771.83428764,16.87155914,119754.96272850,0.00000000
2016-09-01,118596.75688171,16.87155914,118579.88532257,0.00000000
2016-09-02,118239.12844086,16.87155914,118222.25688171,0.00000000
2016-09-05,122121.96961021,16.87155914,122105.09805107,0.00000000
2016-09-06,124063.39506721,16.87155914,124046.52350807,0.00000000
2016-09-07,127486.42545700,16.87155914,127469.55389786,0.00000000
2016-09-08,126975.52350807,16.87155914,126958.65194893,0.00000000
2016-09-09,123552.49311829,16.87155914,123535.62155914,0.00000000
2016-09-12,117881.50000000,16.87155914,117864.62844086,0.00000000
2016-09-13,117268.42545700,16.87155914,117251.55389786,0.00000000
2016-09-14,116553.15883064,16.87155914,116536.28727150,0.00000000
2016-09-19,124216.65883064,16.87155914,124199.78727150,0.00000000
2016-09-20,123961.21272850,16.87155914,123944.34116936,0.00000000
2016-09-21,125187.37155914,16.87155914,125170.50000000,0.00000000
2016-09-22,126055.90194893,16.87155914,126039.03038979,0.00000000
2016-09-23,127690.78038979,16.87155914,127673.90883064,0.00000000
2016-09-26,125034.09805107,16.87155914,125017.22649193,0.00000000
2016-09-29,126413.53038979,126413.53038979,0.00000000,0.00000000
2016-09-30,126413.53038979,126413.53038979,0.00000000,0.00000000
2016-10-03,126413.53038979,126413.53038979,0.00000000,0.00000000
2016-10-04,126413.53038979,126413.53038979,0.00000000,0.00000000
2016-10-05,126413.53038979,126413.53038979,0.00000000,0.00000000
2016-10-06,126413.53038979,126413.53038979,0.00000000,0.00000000
2016-10-07,126413.53038979,126413.53038979,0.00000000,0.00000000
2016-10-11,126413.53038979,126413.53038979,0.00000000,0.00000000
2016-10-12,126413.53038979,126413.53038979,0.00000000,0.00000000
2016-10-13,126413.53038979,126413.53038979,0.00000000,0.00000000
2016-10-14,126413.53038979,126413.53038979,0.00000000,0.00000000
2016-10-17,126413.53038979,126413.53038979,0.00000000,0.00000000
