date,equity,cash,position_value_implied,check_sum_eq≈pos+cash
2014-12-23,100000.00000000,100000.00000000,0.00000000,0.00000000
2014-12-24,100000.00000000,100000.00000000,0.00000000,0.00000000
2014-12-25,100000.00000000,100000.00000000,0.00000000,0.00000000
2014-12-26,100000.00000000,100000.00000000,0.00000000,0.00000000
2014-12-29,100000.00000000,100000.00000000,0.00000000,0.00000000
2014-12-30,100000.00000000,100000.00000000,0.00000000,0.00000000
2014-12-31,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-05,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-06,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-07,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-08,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-09,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-12,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-13,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-14,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-15,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-16,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-19,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-20,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-21,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-22,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-23,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-26,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-27,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-28,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-29,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-01-30,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-02-02,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-02-03,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-02-04,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-02-05,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-02-06,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-02-09,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-02-10,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-02-11,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-02-12,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-02-13,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-02-24,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-02-25,99024.94867897,2.18495941,99022.76371956,0.00000000
2015-02-26,99349.96578598,2.18495941,99347.78082657,0.00000000
2015-03-02,99620.81165314,2.18495941,99618.62669373,0.00000000
2015-03-03,99674.98289299,2.18495941,99672.79793358,0.00000000
2015-03-04,99729.15413284,2.18495941,99726.96917343,0.00000000
2015-03-05,99783.32537270,2.18495941,99781.14041328,0.00000000
2015-03-06,99674.98289299,2.18495941,99672.79793358,0.00000000
2015-03-09,100054.17123985,2.18495941,100051.98628044,0.00000000
2015-03-10,100541.70206642,2.18495941,100539.51710701,0.00000000
2015-03-11,100704.21578598,2.18495941,100702.03082657,0.00000000
2015-03-12,99945.83909225,2.18495941,99943.65413284,0.00000000
