date,equity,cash,position_value_implied,check_sum_eq≈pos+cash
2015-11-10,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-11,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-12,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-13,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-16,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-17,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-18,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-19,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-20,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-23,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-24,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-25,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-26,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-27,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-11-30,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-01,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-02,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-03,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-04,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-07,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-08,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-09,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-10,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-11,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-14,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-15,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-16,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-17,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-18,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-12-21,100841.64785957,11.98171234,100829.66614723,0.00000000
2015-12-22,100617.21342468,11.98171234,100605.23171234,0.00000000
2015-12-23,101290.52743149,11.98171234,101278.54571915,0.00000000
2015-12-24,102019.96342468,11.98171234,102007.98171234,0.00000000
2015-12-25,103029.94513702,11.98171234,103017.96342468,0.00000000
2015-12-28,103142.15700340,11.98171234,103130.17529106,0.00000000
2015-12-29,101234.42684937,11.98171234,101222.44513702,0.00000000
2015-12-30,100336.65700340,11.98171234,100324.67529106,0.00000000
2015-12-31,100841.64785957,11.98171234,100829.66614723,0.00000000
2016-01-04,96465.07470894,11.98171234,96453.09299660,0.00000000
2016-01-05,100561.10214043,100561.10214043,0.00000000,0.00000000
2016-01-06,100561.10214043,100561.10214043,0.00000000,0.00000000
2016-01-07,100561.10214043,100561.10214043,0.00000000,0.00000000
2016-01-08,100561.10214043,100561.10214043,0.00000000,0.00000000
2016-01-11,100561.10214043,100561.10214043,0.00000000,0.00000000
2016-01-12,100561.10214043,100561.10214043,0.00000000,0.00000000
2016-01-13,100561.10214043,100561.10214043,0.00000000,0.00000000
2016-01-14,100561.10214043,100561.10214043,0.00000000,0.00000000
2016-01-15,100561.10214043,100561.10214043,0.00000000,0.00000000
2016-01-18,100940.54479408,9.50455284,100931.04024124,0.00000000
2016-01-19,101825.90696526,9.50455284,101816.40241241,0.00000000
2016-01-20,95818.10214043,9.50455284,95808.59758759,0.00000000
2016-01-21,96324.02165794,9.50455284,96314.51710510,0.00000000
2016-01-22,98980.10214043,9.50455284,98970.59758759,0.00000000
2016-01-25,102395.06793022,9.50455284,102385.56337738,0.00000000
2016-01-26,100687.58503532,9.50455284,100678.08048248,0.00000000
