date,equity,cash,position_value_implied,check_sum_eq≈pos+cash
2015-07-27,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-07-28,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-07-29,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-07-30,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-07-31,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-03,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-04,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-05,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-06,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-07,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-10,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-11,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-12,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-13,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-14,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-17,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-18,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-19,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-20,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-21,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-24,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-08-25,99363.10364437,6.70121479,99356.40242958,0.00000000
2015-08-26,100445.83413029,6.70121479,100439.13291550,0.00000000
2015-08-27,101210.11340141,6.70121479,101203.41218662,0.00000000
2015-08-28,106878.52558804,6.70121479,106871.82437325,0.00000000
2015-08-31,108152.31829929,6.70121479,108145.61708450,0.00000000
2015-09-01,105986.85732746,6.70121479,105980.15611267,0.00000000
2015-09-02,108343.39267254,6.70121479,108336.69145775,0.00000000
2015-09-03,108598.14635563,6.70121479,108591.44514084,0.00000000
2015-09-04,106560.06829929,6.70121479,106553.36708450,0.00000000
2015-09-07,107133.27927113,6.70121479,107126.57805634,0.00000000
2015-09-08,107133.27927113,6.70121479,107126.57805634,0.00000000
2015-09-09,117196.29878521,6.70121479,117189.59757042,0.00000000
2015-09-10,115858.81461620,6.70121479,115852.11340141,0.00000000
2015-09-11,116432.02558804,6.70121479,116425.32437325,0.00000000
2015-09-14,115604.04878521,6.70121479,115597.34757042,0.00000000
2015-09-15,114903.46704578,6.70121479,114896.76583099,0.00000000
2015-09-16,116495.71704578,6.70121479,116489.01583099,0.00000000
2015-09-17,120890.31829929,6.70121479,120883.61708450,0.00000000
2015-09-18,121527.22072887,6.70121479,121520.51951408,0.00000000
2015-09-21,115922.50607395,6.70121479,115915.80485916,0.00000000
2015-09-22,117068.91586971,6.70121479,117062.21465492,0.00000000
2015-09-23,112610.62315845,6.70121479,112603.92194366,0.00000000
2015-09-24,111209.43538380,6.70121479,111202.73416901,0.00000000
2015-09-25,111718.96704578,6.70121479,111712.26583099,0.00000000
2015-09-30,112546.93170071,6.70121479,112540.23048592,0.00000000
2015-10-01,116432.02558804,6.70121479,116425.32437325,0.00000000
2015-10-02,115731.43170071,6.70121479,115724.73048592,0.00000000
2015-10-05,116559.39635563,6.70121479,116552.69514084,0.00000000
2015-10-06,118215.33781338,6.70121479,118208.63659859,0.00000000
2015-10-07,121654.60364437,6.70121479,121647.90242958,0.00000000
2015-10-08,120189.73655987,6.70121479,120183.03534508,0.00000000
2015-10-12,124202.20121479,6.70121479,124195.50000000,0.00000000
2015-10-13,123565.29878521,6.70121479,123558.59757042,0.00000000
2015-10-14,122546.25975704,6.70121479,122539.55854225,0.00000000
2015-10-15,125476.00607395,6.70121479,125469.30485916,0.00000000
2015-10-16,124966.48655987,6.70121479,124959.78534508,0.00000000
2015-10-19,125284.93170071,6.70121479,125278.23048592,0.00000000
2015-10-20,125921.83413029,6.70121479,125915.13291550,0.00000000
2015-10-21,124456.96704578,6.70121479,124450.26583099,0.00000000
2015-10-22,124839.10364437,6.70121479,124832.40242958,0.00000000
2015-10-23,126749.79878521,6.70121479,126743.09757042,0.00000000
2015-10-26,128660.50607395,6.70121479,128653.80485916,0.00000000
2015-10-27,127131.93538380,6.70121479,127125.23416901,0.00000000
2015-10-28,126049.21704578,6.70121479,126042.51583099,0.00000000
2015-10-29,124074.81829929,6.70121479,124068.11708450,0.00000000
2015-10-30,123947.43538380,6.70121479,123940.73416901,0.00000000
2015-11-02,124074.81829929,6.70121479,124068.11708450,0.00000000
2015-11-03,127959.91218662,6.70121479,127953.21097183,0.00000000
2015-11-04,132672.97072887,6.70121479,132666.26951408,0.00000000
2015-11-05,132545.58781338,6.70121479,132538.88659859,0.00000000
2015-11-06,127641.46704578,6.70121479,127634.76583099,0.00000000
2015-11-09,125348.62315845,6.70121479,125341.92194366,0.00000000
2015-11-10,122737.33413029,6.70121479,122730.63291550,0.00000000
2015-11-11,119743.89635563,6.70121479,119737.19514084,0.00000000
2015-11-12,119934.97072887,6.70121479,119928.26951408,0.00000000
2015-11-13,117387.37315845,6.70121479,117380.67194366,0.00000000
2015-11-16,115922.50607395,6.70121479,115915.80485916,0.00000000
2015-11-17,119871.27927113,6.70121479,119864.57805634,0.00000000
