date,equity,cash,position_value_implied,check_sum_eq≈pos+cash
2015-07-15,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-07-16,100000.00000000,100000.00000000,0.00000000,0.00000000
2015-07-17,100262.30600357,11.24280167,100251.06320190,0.00000000
2015-07-20,100944.28160095,11.24280167,100933.03879929,0.00000000
2015-07-21,100419.67959976,11.24280167,100408.43679810,0.00000000
2015-07-22,101049.20400238,11.24280167,101037.96120071,0.00000000
2015-07-23,101836.10200119,11.24280167,101824.85919952,0.00000000
2015-07-24,102518.08760452,11.24280167,102506.84480286,0.00000000
2015-07-27,104406.64080048,11.24280167,104395.39799881,0.00000000
2015-07-28,104039.42240143,11.24280167,104028.17959976,0.00000000
2015-07-29,104878.78160095,11.24280167,104867.53879929,0.00000000
2015-07-30,103619.74280167,11.24280167,103608.50000000,0.00000000
2015-07-31,104301.71839905,11.24280167,104290.47559738,0.00000000
2015-08-03,105665.67959976,11.24280167,105654.43679810,0.00000000
2015-08-04,105508.30600357,11.24280167,105497.06320190,0.00000000
2015-08-05,104511.56320190,11.24280167,104500.32040024,0.00000000
2015-08-06,105927.98560333,11.24280167,105916.74280167,0.00000000
2015-08-07,106190.28160095,11.24280167,106179.03879929,0.00000000
2015-08-10,105350.92240143,11.24280167,105339.67959976,0.00000000
2015-08-11,106347.66520309,11.24280167,106336.42240143,0.00000000
2015-08-12,107344.39799881,11.24280167,107333.15519714,0.00000000
2015-08-13,107187.02440262,11.24280167,107175.78160095,0.00000000
2015-08-14,107082.10200119,107082.10200119,0.00000000,0.00000000
2015-08-17,107082.10200119,107082.10200119,0.00000000,0.00000000
2015-08-18,107082.10200119,107082.10200119,0.00000000,0.00000000
2015-08-19,107082.10200119,107082.10200119,0.00000000,0.00000000
2015-08-20,107082.10200119,107082.10200119,0.00000000,0.00000000
2015-08-21,107082.10200119,107082.10200119,0.00000000,0.00000000
2015-08-24,107082.10200119,107082.10200119,0.00000000,0.00000000
2015-08-25,107082.10200119,107082.10200119,0.00000000,0.00000000
2015-08-26,116944.05850697,9.50511265,116934.55339432,0.00000000
2015-08-27,117833.85765839,9.50511265,117824.35254574,0.00000000
