date,type,open,delta_units,exec_notional,w_before,w_after,cash_after,equity_open_after_trade,equity_after,trade_date,price
2016-05-17,buy,17.280000686645508,17161.437100982082,296549.6448887941,0.2,0.5,703323.7284128384,988372.189597613,990946.4095271394,2016-05-17,17.280000686645508
2016-05-18,buy,17.3700008392334,17114.790356640082,297283.9228581419,0.5,0.8,405912.8653196361,990819.469292079,998578.1777357688,2016-05-18,17.3700008392334
2016-05-19,buy,17.540000915527344,5693.147808514502,99857.81777357685,0.8,0.9,306012.40825786995,998535.5384475795,990849.7107225975,2016-05-19,17.540000915527344
2016-05-20,buy,17.389999389648438,2848.9066863119297,49542.48553612981,0.9,0.95,256448.76808041622,990828.5560812736,994076.3840388505,2016-05-20,17.389999389648438
2016-05-23,buy,17.450000762939453,1424.1781383615814,24851.909600971285,0.95,0.975,231586.2467140453,994065.772273451,1051274.940289986,2016-05-23,17.450000762939453
2016-05-24,buy,18.479999542236328,711.089668784411,13140.936753624896,0.975,0.9875,218439.69878042658,1051269.3291099924,1052392.8765020422,2016-05-24,18.479999542236328
2016-05-27,buy,18.88999938964844,622.0304048086473,11750.153967178121,0.9875,0.9984375,206684.52749750452,1074294.7739691194,1080540.8825055435,2016-05-27,18.88999938964844
2016-11-04,sell,24.32999992370605,-16966.169429976242,412786.90093690593,0.9984375,0.7,616818.4470220889,1380507.3149207663,1393241.7009411224,2016-11-04,24.32999992370605
2016-11-07,sell,24.649999618530277,-16956.28871199381,417972.5102823366,0.7,0.4,1032104.647980841,1390555.3916175377,1400729.1820935628,2016-11-07,24.649999618530277
2016-11-08,sell,25.100000381469727,-5580.594266156513,140072.91820935626,0.4,0.30000000000000004,1171277.3175448657,1399828.9334482313,1406358.2185212611,2016-11-08,25.100000381469727
2016-11-09,sell,25.489999771118164,-2758.6469814620364,70317.91092606312,0.30000000000000004,0.25,1241143.295257407,1405906.2853077394,1395699.2946333508,2016-11-09,25.489999771118164
2016-11-10,sell,24.75,-1409.7972673064146,34892.48236583376,0.25,0.225,1275811.5236390757,1395475.0406491857,1387989.0152237266,2016-11-10,24.75
