date,action,price,weight,shares
2016-04-15,buy,19.770000457763672,1.0,5058
2016-09-23,sell,24.790000915527344,-1.0,5058
2016-11-28,buy,24.6200008392334,1.0,5093
2016-12-16,sell,25.690000534057617,-1.0,5093
2017-01-05,buy,25.100000381469727,1.0,5212
2017-02-15,sell,27.450000762939453,-1.0,5212
2017-02-24,buy,27.489999771118164,1.0,5205
2017-10-26,sell,36.310001373291016,-1.0,5205
2017-11-30,buy,35.47999954223633,1.0,5326
2018-06-14,sell,37.650001525878906,-1.0,5326
2018-07-11,buy,36.540000915527344,1.0,5488
2018-08-01,sell,40.41999816894531,-1.0,5488
2018-08-10,buy,40.130001068115234,1.0,5528
2018-09-28,sell,41.150001525878906,-1.0,5528
2018-10-12,buy,31.68000030517578,1.0,7180
2019-03-05,sell,35.11000061035156,-1.0,7180
2019-05-21,buy,36.18000030517578,1.0,6968
2019-12-19,sell,54.54999923706055,-1.0,6968
2020-02-05,buy,49.79999923706055,1.0,7632
2020-08-06,sell,66.55000305175781,-1.0,7632
2020-10-07,buy,64.69999694824219,1.0,7850
2022-01-04,sell,148.75,-1.0,7850
2022-02-17,buy,147.8000030517578,1.0,7900
2022-08-19,sell,110.3499984741211,-1.0,7900
2022-10-31,buy,76.44999694824219,1.0,11404
2022-11-23,sell,99.5999984741211,-1.0,11404
2023-01-06,buy,94.6999969482422,1.0,11994
2023-10-03,sell,130.25,-1.0,11994
2023-11-02,buy,126.1500015258789,1.0,12384
2024-03-11,sell,184.8500061035156,-1.0,12384
2024-05-02,buy,193.3999938964844,1.0,11836
2024-06-25,sell,243.1000061035156,-1.0,11836
2024-07-31,buy,231.0,1.0,12456
2025-02-25,sell,242.0,-1.0,12456
2025-03-14,buy,214.8500061035156,1.0,14030
2025-07-28,sell,240.8500061035156,-1.0,14030
