date,action,price,weight,shares
2016-05-20,buy,17.389999389648438,1.0,5750
2016-10-26,sell,25.780000686645508,-1.0,5750
2016-11-22,buy,24.21999931335449,1.0,6120
2017-06-22,sell,32.099998474121094,-1.0,6120
2017-08-04,buy,34.290000915527344,1.0,5729
2018-01-26,sell,38.9900016784668,-1.0,5729
2018-04-25,buy,34.400001525878906,1.0,6494
2018-10-01,sell,40.83000183105469,-1.0,6494
2018-11-05,buy,32.31999969482422,1.0,8203
2018-11-07,sell,32.40999984741211,-1.0,8203
2018-11-13,buy,30.989999771118164,1.0,8579
2019-04-30,sell,40.130001068115234,-1.0,8579
2019-05-29,buy,34.95000076293945,1.0,9851
2019-11-15,sell,49.0,-1.0,9851
2020-03-02,buy,45.65999984741211,1.0,10571
2020-08-26,sell,65.30000305175781,-1.0,10571
2020-12-10,buy,84.0,1.0,8218
2022-01-07,sell,149.5,-1.0,8218
2022-05-11,buy,111.6500015258789,1.0,11004
2023-02-02,sell,112.4499969482422,-1.0,11004
2023-03-13,buy,110.75,1.0,11172
2024-02-20,sell,163.9499969482422,-1.0,11172
2024-04-24,buy,186.8999938964844,1.0,9800
2025-08-08,sell_forced,253.1999969482422,-1.0,9800
