date,action,price,weight,shares
2015-08-31,buy,16.649999618530273,1.0,6006
2015-12-01,sell,18.450000762939453,-1.0,6006
2016-05-24,buy,18.479999542236328,1.0,5996
2018-02-08,sell,34.810001373291016,-1.0,5996
2018-03-14,buy,38.33000183105469,1.0,5445
2018-08-20,sell,38.40999984741211,-1.0,5445
2018-11-13,buy,30.989999771118164,1.0,6749
2019-11-26,sell,49.79999923706055,-1.0,6749
2019-12-16,buy,53.04999923706055,1.0,6335
2020-01-20,sell,54.59999847412109,-1.0,6335
2020-04-16,buy,39.0,1.0,8869
2021-10-05,sell,115.1999969482422,-1.0,8869
2022-07-21,buy,100.4499969482422,1.0,10171
2022-09-06,sell,101.0500030517578,-1.0,10171
2022-11-02,buy,78.19999694824219,1.0,13143
2023-07-24,sell,137.64999389648438,-1.0,13143
2023-11-07,buy,131.5,1.0,13758
2024-03-26,sell,196.1999969482422,-1.0,13758
2024-09-09,buy,201.1499938964844,1.0,13419
2024-11-15,sell,236.1999969482422,-1.0,13419
2025-04-28,buy,167.8000030517578,1.0,18889
2025-08-08,sell_forced,253.1999969482422,-1.0,18889
